0,CombatZoneResize,241,226,406,391,TLResume,,,
0.4,,,,,,,,,
0,HeartMode,0,,,,,,,
0.1,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,90,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,180,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,270,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,360,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,225,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,45,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,315,0.1,0.1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,135,0.1,0.1
0,bonestab,0,10,0.1,0.6,,,,
0,bonestab,1,10,0.1,0.6,,,,
0,bonestab,2,10,0.1,0.6,,,,
0,bonestab,3,10,0.1,0.6,,,,
1.3,,,,,,,,,
0,bonestab,0,70,0.1,0.2,,,,
0,bonestab,1,70,0.1,0.2,,,,
0,bonestab,2,70,0.1,0.2,,,,
0,bonestab,3,70,0.1,0.2,,,,
1,,,,,,,,,
0,endattack,,,,,,,,
